Question,Answer,LeitnerBox
"What is the largest planet in our solar system?","Jupiter",1
"Who painted the Mona Lisa?","Leonardo da Vinci",1
"What is the capital city of Japan?","Tokyo",1
"What gas do plants absorb from the atmosphere?","Carbon dioxide",1
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare",1
"What is the fastest land animal?","Cheetah",1
"What is the chemical symbol for gold?","Au",1
"Which ocean is the largest on Earth?","Pacific Ocean",1
"What is the smallest prime number?","2",1
"Who discovered penicillin?","Alexander Fleming",1
